Model,RMSE (per 10k Cases),MAE (per 10k Cases),Peak Timing Error (Weeks)
Classical SIR,0.059335339578682554,0.034730248931126195,13
Latent Neural ODE,0.07769165931360053,0.04569997145154048,13
Hybrid UDE,0.07752695186966282,0.04557809006655589,13
