S,I,R
1.0,0.0,0.0
0.99999984375,1.5625e-07,0.0
0.9999996875,2.0833333333333333e-07,1.0416666666666667e-07
0.9999994791666668,2.0833333333333333e-07,3.125e-07
0.999999375,1.0416666666666667e-07,5.208333333333334e-07
0.999999375,0.0,6.25e-07
0.999999375,0.0,6.25e-07
0.999999375,0.0,6.25e-07
0.999999375,0.0,6.25e-07
0.999999375,0.0,6.25e-07
0.9999992708333333,1.0416666666666667e-07,6.25e-07
0.9999991666666667,1.0416666666666667e-07,7.291666666666667e-07
0.9999990625,1.0416666666666667e-07,8.333333333333333e-07
0.9999989583333333,1.0416666666666667e-07,9.375e-07
0.9999988541666667,1.0416666666666667e-07,1.0416666666666667e-06
0.99999875,1.0416666666666667e-07,1.1458333333333333e-06
0.99999875,0.0,1.25e-06
0.99999875,0.0,1.25e-06
0.9999986458333333,1.0416666666666667e-07,1.25e-06
0.9999984375,2.0833333333333333e-07,1.3541666666666665e-06
0.9999982291666667,2.0833333333333333e-07,1.5625e-06
0.999998125,1.0416666666666667e-07,1.7708333333333335e-06
0.999998125,0.0,1.875e-06
0.999998125,0.0,1.875e-06
0.9999980208333333,1.0416666666666667e-07,1.875e-06
0.9999978125,2.0833333333333333e-07,1.9791666666666666e-06
0.9999972916666667,5.208333333333334e-07,2.1875e-06
0.9999966666666668,6.25e-07,2.708333333333333e-06
0.9999959375,7.291666666666667e-07,3.3333333333333333e-06
0.9999954166666667,5.208333333333334e-07,4.0625e-06
0.999995,4.1666666666666667e-07,4.583333333333333e-06
0.9999945833333332,4.1666666666666667e-07,5e-06
0.9999941666666667,4.1666666666666667e-07,5.416666666666666e-06
0.9999934375,7.291666666666667e-07,5.833333333333334e-06
0.9999923958333333,1.0416666666666667e-06,6.5625e-06
0.9999903125,2.0833333333333334e-06,7.6041666666666666e-06
0.999986875,3.4375e-06,9.6875e-06
0.9999822916666667,4.583333333333333e-06,1.3125e-05
0.9999780208333333,4.270833333333333e-06,1.770833333333333e-05
0.9999746875,3.3333333333333333e-06,2.1979166666666664e-05
0.9999711458333332,3.541666666666667e-06,2.53125e-05
0.9999671875,3.958333333333333e-06,2.8854166666666666e-05
0.9999639583333333,3.229166666666667e-06,3.28125e-05
0.9999626041666667,1.3541666666666665e-06,3.6041666666666664e-05
0.9999625,1.0416666666666667e-07,3.739583333333333e-05
0.9999625,0.0,3.75e-05
0.9999622916666667,2.0833333333333333e-07,3.75e-05
0.999961875,4.1666666666666667e-07,3.770833333333333e-05
0.9999611458333333,7.291666666666667e-07,3.8125e-05
0.9999602083333333,9.375e-07,3.8854166666666665e-05
0.999959375,8.333333333333333e-07,3.979166666666667e-05
0.9999588541666667,5.208333333333334e-07,4.0625e-05
0.9999582291666668,6.25e-07,4.114583333333333e-05
0.9999569791666667,1.25e-06,4.177083333333333e-05
0.9999542708333333,2.708333333333333e-06,4.302083333333333e-05
0.9999508333333332,3.4375e-06,4.572916666666667e-05
0.9999478125,3.0208333333333334e-06,4.916666666666667e-05
0.9999453125,2.5e-06,5.21875e-05
0.9999432291666667,2.0833333333333334e-06,5.46875e-05
0.9999411458333333,2.0833333333333334e-06,5.677083333333333e-05
0.9999394791666667,1.6666666666666667e-06,5.885416666666667e-05
0.9999379166666668,1.5625e-06,6.052083333333333e-05
0.9999364583333333,1.4583333333333335e-06,6.208333333333333e-05
0.9999353125,1.1458333333333333e-06,6.354166666666668e-05
0.9999347916666668,5.208333333333334e-07,6.46875e-05
0.99993375,1.0416666666666667e-06,6.520833333333332e-05
0.9999326041666667,1.1458333333333333e-06,6.625e-05
0.9999315625,1.0416666666666667e-06,6.739583333333333e-05
0.99993125,3.125e-07,6.84375e-05
0.9999311458333333,1.0416666666666667e-07,6.875e-05
0.999930625,5.208333333333334e-07,6.885416666666668e-05
0.99993,6.25e-07,6.9375e-05
0.9999291666666668,8.333333333333333e-07,7e-05
0.9999284375,7.291666666666667e-07,7.083333333333332e-05
0.9999275,9.375e-07,7.15625e-05
0.9999265625,9.375e-07,7.25e-05
0.9999255208333333,1.0416666666666667e-06,7.34375e-05
0.9999241666666667,1.3541666666666665e-06,7.447916666666666e-05
